,date,open,close,volume,trade_count,vwap,EMA
0,2023-01-26,143.71,143.74,6121860,200,143.74,0.07188442731912038
1,2023-01-27,145.71,145.71,8102022,227,145.71,0.07986769361462198
2,2023-01-30,142.78,142.78,9283454,203,142.78,0.08958739287577336
3,2023-01-31,144.08,143.96,16094232,560,144.07,0.1230525024932111
4,2023-02-03,154.26,154.37,13268137,330,154.27,0.13109532480205605
5,2023-02-07,154.4,154.29,10427311,317,154.41,0.1385451353625985
6,2023-02-08,151.73,151.94,9085991,577,151.69,0.14238298642826652
7,2023-02-13,153.84,153.75,8853108,281,153.849852,0.13599829962615728
8,2023-02-14,153.1399,153.06,8357534,266,153.200868,0.1410205179569973
9,2023-02-16,153.71,153.71,10493091,153,153.71,0.15131989929831205
10,2023-02-21,148.48,148.49,11093339,243,148.480022,0.15975599581112518
11,2023-02-24,146.72,146.55,8666465,351,146.709679,0.13628830022649532
12,2023-02-28,147.39,147.39,10754738,775,147.410517,0.1408615739334555
13,2023-03-03,151.1,151.02,10527179,187,151.030002,0.1367396568655358
14,2023-03-10,148.48,148.59,7284045,208,148.500051,0.0864256087027217
15,2023-03-13,150.45,150.46,7127787,167,150.469965,0.08770051566658998
16,2023-03-14,152.5,152.56,11577598,260,152.59005,0.11006577160677589
17,2023-03-15,153.0,152.99,9093859,463,152.988912,0.11560182053788462
18,2023-03-16,155.91,155.85,8363360,169,155.850016,0.11787781464573888
19,2023-03-17,156.08,155.495,14673280,9480,156.12265,0.18675667686372976
20,2023-03-17,155.06,155.0,21495784,252,155.00001,0.18675667686372976
21,2023-03-20,157.4,157.45,12733379,310,157.400023,0.1937242356110408
22,2023-03-21,159.38,159.28,14473163,216,159.279935,0.21067226042702236
23,2023-04-03,166.17,166.1,5430009,286,166.169916,0.09889545526706871
24,2023-04-04,165.65,165.6,6080503,183,165.63001,0.10730233619956989
25,2023-04-05,163.76,163.76,5554997,210,163.760071,0.10875832662579484
26,2023-04-06,164.65,164.63,6511934,157,164.659974,0.11620838030943953
27,2023-04-13,165.6,165.55,9228358,184,165.560018,0.12657806186782566
28,2023-04-18,166.45,166.19,5940526,313,166.46971,0.11213138652909263
29,2023-04-20,166.65,166.6,7476159,238,166.649856,0.1170807975242191
